line	text
18267	جدى انت موافق على القالوا
14314	صح من لقى احبابه نسى اصحابه
13967	الو ياشغف اى خلصتى شغل اجى اخدك معايا
11676	يلا بقي انزلي ادحلبي وساعدي الهام ف الفطار للهانم وعد وابداي ف تنفيذ الخطه
12272	وانت بقى دلوقتى حاسس انى مش عايزاك
5859	لكن انا عندى مانع وماقدرش اروح معاكم
16437	- منكم لله يابعدي منكم لله ياظلمة.
18064	ازي انتو فين دلوقتي
948	اه استني ..
18164	شهاب سيبه هيموت فيها انا هتصرف و انت وف قريبتك
14595	كله يروح يغير هدومه عشان هوديكم ليها
18969	ربنا يوفقك يا حبيبتى ومتخليش حاجة تزعلك بس انتى هتعرفى توفقى بين الدراسه والشغل
6339	ايوه. اهو لقيته، اممم البت دي كاتبه غلط على فكره
16487	انت جرى لراسك اي ياوجد .. من ميته سليم الهواري خدك بذنب العتامنه .. انت لحد دلوق مش واثقه فى حبى ليك اللي اتحديت الكل عشان ..
6894	بتعمل اي يا روح امك
11505	الله دا تليفون
13940	الله يبارك فيكى
247	من غير شورة اهاليهم.
7019	- مافيش حاجة ياجماعة اطمنوا. احنا لحقنا وقفنا النزيف. وهي دلوقتى كويسه والحمد لله.
9230	وكمان لو المهره تاهت ومرجعتش هتروحي فيها انتي عارفه هي غاليه على دياب قد اي
11204	جميل والخضة الختها منك قال ماما تعبانة وأخدوها على المستشفى ده انا يابت صدقت
5980	يارب يا دكتور يا رب
21133	- بعدين يا بدور بعدين. مش عايزة حد ياخد باله.
16792	ايوه
3878	انا خايفه يا ماما إلى بنعمله. لو عرفه هنروح فيها
13472	ونعمة بالله يا بابا بس انت عارف بيان كانت اى بالنسبة ليه وانا متأثرة جامد بغيابها
15032	والله حضرتك مش محترمانى ولا جوا الجامعة ولا حتى برة
10382	انتوا هتعرفوا تروحوا لحالكم
1604	طيب أوى يابراء أمشى يابنى انت شكلك لسه متعرفش سليم كويس
2921	الدكتور ياسر دفع حسابه ومشي الصبح يافندم .. للاسف ..
15685	يا مفتريه كلدا
17854	طاب بقولك متخلي البو سه دا لبعد ما دراعي يخف
3519	بيان انا مستحيل كنت هخليكى تروحى مكان غير وولدتك موافقة وراضية عنك
623	لا انا مش اخوها و طالب ايدها لجواز
8157	لكن يا عاصم...
15432	دى اكيد صفوة جايه تطمن عليك .. او حد من البنات جايب فطور .. مش هتأخر عليك ..
5284	احمم ايه
13123	أختى حبيبتى مش تعيطى كله هيبقى تمام
15080	دا اكيد ياجدى
8102	مالك يا ماما انا مش عند حد غريب ده بابى
16484	دانت ضايعه...
19629	لى اتأخرت كده يا حمزة قلقتنى عليك.
5296	أكيد مش مراتى.
9381	مش بترد يمكن التليفون بعيد عنها
21286	نقدر نشوفها يا دكتور
5476	كويس هتاجوا عشان عايزة اعرفكم على مرح وجيلان
13778	اها ماشى.
13132	انت جاى ليه عاوز منى ايه
17401	بصراحه انا مبجتش اتشرف بيكم.
5302	وانتى أزاى تكلميه كدا
4527	وانت مالك يابارد ماهو انت لو محترم نفسك انت والمحروس التانى اللى عاملى فيها دكتور كبير ماكنش حد فيكم اتجدم بعدى وانتوا عارفين زين ان انا متكلم عليها من زمان
3707	صباح الخير يا حج
580	دلوقتى يمكن فى الشركة ليه فى حاجة
5865	تصدقى كلامه صح انتى فعلا بتلفتى النظر وانتى بتضحكى
17481	متفوق يا زفت شوف مراتك
20725	ف مين عاد !.. كل اخواتي اتجوزوا .. يكونش عينك ع واحده من بنات عمي برا؟
13027	اااه يا بنت الكلب يابقا انا تبصي لجوزي دا انا هفقأع عنيكي دول.
10413	بس عشان نعمل فرع لشركة ومستشفى عايزة تكلفة عاليه
18850	ريم حبيبتى وحشانى
8821	مجدى متسبش البنات لوحدهم واحنا هنتصرف ماتقلقش ..
1985	انا هقعد معاك لحد متخف واتاكد انك كويس.
7051	- يعنى انتى عارفة ان في حاجات ماينفعش تطلع بين الراجل ومرته. شاطرة يا نيره.
4633	طيب واي الل يخلي حمزه يجيبهم  تاني هنا بعد كل كلامك دا  .. ف جزء غامض
1654	- صحيح بمناسبة الدراسة. انا ليه بطلت ما اشوفك بتذاكري خالص؟
10430	عمو حضرتك بخير
17359	ايه بتجولى سمعينى تانى!
4642	ها يعني اقدر امشي دلوق .. مش اكده ؟
9883	بجوازى من بنته؟
16615	انا عبد الرحيم. اللى اول واحد شاف عاصم ساعة...
8628	وانا ايه اللى هازعلنى بجى ياعم انت؟
14734	انا جولتلك افهمنى يا مدحت.
16545	الولاد برضو
11143	لى راحت فين ياحاج
16247	مش عارف والله، طب اندهلك امي تعملهالك
9775	مراد طلب أيد كارما وهى وافقت
3164	- ومالها بقى القعدة هنا ياولدى؟ دى قاعدة في بيت بنتها يعنى مش حد غريب!
21562	وانت مالك يابت ال. مالك باللى بينة وبينها
15472	زين اخوى مات بسببى ياسليم .. انا اللي سكت ومبلغتش عنهم .. انا اللي سبت البيت ومشيت وسبته .. منفذتش وصيه ابويا ياسليم ..
19374	- مساء الفل.
11266	غيرتي رايك ولا ايه
17448	فى ايه يأدهم هاكل
502	- ماحصلش حاجة ياامى. انا بس انهاردة حكمت رأيي انى ابات هنا في بيت ابويا عشان وحشتونى. فيها حاجة دى؟
10066	ان شاءلله انت مش هتقعدلك اقل من شهر هنا يا اسر
14983	اى يا ست هو أحنا هنقلبها نكد ولا اى تعالى اتفرجى على حاجتك بقا عشان ننزل نتفسح الواحد جاى اسكندريةعشان يفرفش مش يتنكد
12450	هي كانت مرة واحده وكانت حطاله حاجه ف الوكل ياولدي غيبت عقله
17165	ماجده .. انا اسف
1757	حمدلله على السلامه يا أدهم
