line	text
17986	حقها دا انا هجبهولها لحد عندها بس متعليش صوتها و انا قيلها من اول يوم جوازنا اكتر حاجه بضايقني إلى ميسمعش كلمتي
15113	مادى مهمتك انت ياجد. احنا هانطلع الاول زى فرجة استطلاع وبعد مانعرف. الدنيا ظروفها ايه هناك. هانتصل بيك ونعرفك عشان تلمهم.
13221	فى حاجة يا باشا
21570	بلا اخوها بلا زفت اوووووف.
896	عايز اقولك ان التنفيذ دلوقتى
6271	الف مبروك
11948	كنت برن عليك و تلفونك كان مغلق
19767	هنجيب ان شاءلله هنجيب كتير مش واحد هنجيب كتير
14440	معقوله
16175	هاجي بكرا او بعده ونتكلم في الموضوع دا. المهم ارفعي الكاميرا
6208	- ومالها البيجامة يعنى؟ ماهى زى العسل اهى!
7256	سبوه بس يتهمني شووويه مع المحروووسه وعياله.
12336	- عفارم عليك ياولدى انتى كده ماشى صح. عايزاك بجى تسرع في الجواز. وتضرب عالحديد وهو سخن.
18460	اخبارك يا ست الكل
18054	اي الصباح الحلو دا
8044	عاملة ايه يابيان
5497	ازاى انت مش قولتلى
5933	بسم الله ماشاء الله. ممكن اتعرف باسمك
11111	مش هنغير حاجه وهتشوفي.
12686	يا حبيبتي اتغطي كويس و كلي و اي حاجه عايزه قولي ل ادهم و هو مش هيتاخر
6969	اتفضل يا حج دقيقه ويكون عندك احلي طبق بسبوسه انت وست الكل
12918	لا انا بخاصم الناس بمزاجي
15140	بااه. خروف، اممم. بس برضك جوز البنته اللى في الاؤضه دى حاجه تانيه يااخى. يابووووى
21750	هتعمل اي ياوعد!
20241	حااسس زي الخووخه لما تكون بين ايدياا
9019	اطلعي وانا دقيقه ونازله.
2072	- طب اجعد اجعد. دا انت شكلك مانمتش من شهر. خبر ايه ياض مالك وايه اللى فيك؟
16516	الدواء التالت والخامس مش متوافرين فى الفرع حاليا .. ممكن تسألوا فى صيدليه الدكتور (___) وبالورقه دي محدش هيعارض معاك
1763	لقيتهم ازاى
7749	والفضل يرجع لسميه عشان اتشرف بمعرفة حضرتك
12163	وااه يامرت عمى. اجتله مش لدرجادى. مع انه يستاهلها
21667	ممكن نتحدت شويه
21806	هتبقي كويسه ساعتين بس تفوق من البينج .. العمليه مكانتش سهله عليها
3868	احم احم ادهم بيه
2901	عجبتك الجبنه بتاعتي .. صححح
18807	بحبك قوى يا براء
3037	بس ايه عاوزة ايه
13960	تحبى نروح نتمشى شويه.
1147	- والله ما انا عارف اعمل ايه؟ بصراحه انا احتار دليلى ومعنديش مقدرة للفلوس دى كلها.
18838	قولى ياجنا فى حاجة.
2962	مفيش بس يلا كلى عشان مش هسيبك غير لما تخلصى الأ كل
4555	تقبل الله ياجدى
6826	بس مش كده يا خالى مكنش لازم تكدب عليها
19193	أخيرا اعترفتى انك مراتى
21629	احم اخبارك ايه
1182	- خلى المحروسه اللى جمبك تجولك. وتعالوا حاصلونى بسرعه.
16130	وتستنى ليه انا هخلى عمى يروح معانا
18835	هاى بيا
5556	مش زعلان ياولدى انا بس خايف من غدر العمده.
21828	لا انا هقعد جااارها اهنه
11981	حاضر يا بيه
19341	الله يريح جلبك ياواد عمى.
15790	نعم يابوي
21741	ياطنط بدل مانزل واطلع تاني هاتيه هو كده كده منامش من الصبح هنيميه
11620	تنوري ياحبيبتي .. طبعا مش عارفه تنامي ف الاوضه مادام حمزه مش موجود .. هنزل بس اعمل الرضعه لحمزه الصغير واجيلك
20999	ولما اتعصب ..
3823	المكان تحفة جميل اوى
14137	- الله يسامحك يابيه. انا لاكنت بشم هوا ولا بتشمس. انا كنت بقلب في محصول البلح اللى منشور في الشمس وافرز منه البلحة العفشة واطلعها عشان ماتبوظش الباقى.
12565	مالك انا حساكى متوترة وخايفة
19375	- زفته مين؟
9889	وانتى عرفت منين انها مش موافجه
16432	- انت اتجنيت ياراجل انت وعايز تبقى شريك مع الباشا؟ دا انا لحد دلوك مااتجرات وعملتها.
18350	معنديش مانع
14398	مرح
20859	أهدى يابتى مش هتقدر تعملك حاجة
6532	٢٥ سنة ذا بشرة بيضاء وعيون بنية وشعر أسود ولحية خفيفة هو شخص بسيط تخرج من كلية الحقوق يحب والديه كثيرا ويتمنى دائما أن يكون سبب فى أسعادهم ويلبى أحتياجتهم يحب فتاة ولكن يخاف أن يتقدم لها ويتم رفضة لأنه ليس من نفس مستواها الأجتماعى.
9528	هاا قولولي بقا انتو ظبطوا كل دا ازاي
16797	لا
1680	بنتى عاملة ايه يا دكتور
285	لا يااختى ونقر عليكى ليه ربنا يهنيكى ويسعدك.
9884	يمكن. بس دا كان جبل مايعرف.
13227	راح يجيب اكل عشان خلص
12473	طيب ممكن بقي تنيم عشق ع سريرها وانا هنيم عااصم بسرعه بسرعه عشان اقعد مع حبيبي لوحدنا بقي
16004	اي حاجه يا رويدا
6656	أنا الأسف يا ياسين انا زعلتك وضيقتك قوى لما هربت من الفرح
1044	عايز اي
970	ممكن اعرف حضرتك عرفت مكاني منين؟!
7284	ترجع فين يا ولد ولادي. جمال قال كدا وهو داخل لما سمع كلامه
14645	مش عارفة خليها تاجى تستأذن من أبوها
13367	عاملة ايه ياشغف
12703	يا طنط ولله ما حصل حاجه
16283	فيروز مش وقته دا هديكي اللي انتي عايزاه بس وريني الاختبار
20928	تعالى معايا
15465	يافندم اس
1608	- شكلك بتحبى البيجامات دى جوى وخصوصاً النوع ده.
12518	بتعيطي ليه طيب
5388	تمام الحمد لله.
8731	تشغلوش بالكم بيهم .. تلاقيها بتخوفنا بس
15615	واديكي عرفتي .. استفدتي ايه.
16318	نعم يا لارا عاوزة اى
5647	- استغفر الله. مش انت اللى وقفتني ياجدع انت. اوووف.
1967	كنت حطتها هنا
3213	- هي ايه اللى كانت حلوة بالظبط؟
6249	- معاش ولا كان يابيه اللى يعيب عليك ولا يجيب فيك حاجه غلط. بس!
15189	امثل دا ايه. دا انا روحى اتردتلى لما علمت بسلامته، بس ايه. البركه في الدكتور مدحت. اللى خلى ست الحسن والجمال، تجعد جمبك وتكلمك. عشان عارف ان روحك فيها وهاتجوم عشانها
19210	ماشى يا بنتى كلميها
7476	أمروا يابنات
15430	تعبتك معايا امبارح .. مش كده ؟!
8791	هييييح المعرض دا عليه شوية مزز. كمل و هو بيعض على باطن شفته، كله شهرين ولاجازه تيجي و نروح نطل عليه طله كل دا و سلسبيل واقفه تتابع بغل
11094	انت بتوحشني وانت معايا ياحمزه .. لو كان قلبك بس بينادي ع وعد .. فكيان وعد كله بيناديك
1478	اوكى
826	نوران
5367	على اى
17669	- اوعى تقولى ان اللى في بالى حصل؟
21490	يااااه يما نفسي
7033	- عاملة ايه بقى يادكتورة في الدراسة؟ ماشية تمام ولا لاقية فيها صعوبة عشان الجواز.
841	اه عرفت يا بابا وبدموع
20245	حمزه بتعمل اييه.
13864	لا خيالك هو اللى لسانه طويل
11723	سلام.
11220	بيان يابنتى انت بتكلمى نفسك
12288	بس هما مش باينين من امبارح انا طلعت مع ابويا وطلعت لوحدى مالمحتش حد فيهم نهائى
10572	كبري دماغك
10893	برا
9466	بحبك
20667	خلصت كلامي .. بس لو حسيت ان ف ضرر ع بنتي واحفادي مش هيبقي كلام ياحمزه
19613	العربيه جاهزة يا إبراهيم بيه
6188	فكرة ايه؟ انا مش فاهمه حاجه!
13128	مفيش حاجة من الواضح انها اتعرضت لصدمة جعلتها تفقد الوعى انا أديتها حقنه وهتفوق دلوقتى
4942	حاضر يا حبيبتي
1508	أهدى يا سيدة وهو ينظر لحمزة مسافر فين كده فجأة
20527	الو ازيك يا بابا
17079	قوليلى يا حبيبتى مالك
7323	طاب ما انا عمري كله معاها انتي مزعلتيش
1105	عاوزه توصلي لايه يابت الاسيووطي
7674	مافيش تعب .. دا شغلي .. هاجي اشوفها بالليل .. سلامتك ياوعد
19977	الف مبروك يا حبيبي
16239	لو ابن الكلب يوسف مد ايده عليكي تاني قوليلي
5211	- مالك ياواض؟ في ايه؟
1177	- وماخافش ليه ياختى؟ انا عندى اغلى منه.
6619	أنتى أوراق كليتك فى الجامعة هنا صح
21480	في اي ما تفهمني
3006	أكيد هتعجبنى ايه حاجة من ايدك هتعجبنى
12548	لا مش مراتك
18846	نعم يا بابا
401	بقولك اي مش ناقصه صداع هي، قلت امسحيهم امسحيهم
8072	عرفاه ياختى وفهماه وحفظاه ده عمتك ليها كل يوم شبشب بسببى.
5060	لا انا هحاول معاها تاني. اعمليلي بس قهوه ونبي حاسس راسي هتنفجر
21773	لا اسمعني روح الضفه واسال اذا كان ف حد اتحرك من هناااك ولا لا
9661	انا معرفش عملت كده ازاى .. والله ما كنت فى وعيي .. يارب سامحنى يارب ...
16471	- نعم ياعنيا. والعربية والشقة اللى مكتوبين بأسمى والمؤخر والمتعة. وكل حقوقي الزوجية في القانون
15308	هنشششششششوف .. هي فكره حلوه جددااان وموزونه
440	كارمن هانم فين
9032	زي ما سمعت
10493	وطي حسك ياولية هتودينا ف داهيه .. تعالي نتكلموا فوق احسن من اهنه .
14940	اصل. اصل شهاب قلي مسمحلقش تقرب مني. كملت بسرعه. انا والله عندي عادي انت و سليم و شهاب اخواتي ولله بس هو مش عارفه قلي كدا ليه انت اخوي
7773	ايه ياحبيبتى انتى هتبكى عشان تنامى.
5498	حبيبت تكون مفاجأة
19750	مش عايز هديه انا عايزك انتي
12857	- تمام يا نهال تمام. احنا هناخد بالنا في اللى جاى. طيب دى حاجة تتنسى برضوا وما تهتميش تقوليلي عليها. دا انا حتى وظيفتى دكتور لو تفتكرى يعنى. الله يهديكى ياشيخة.
9111	حاضر
329	عجبتك
4662	اسيبك تفكري وتردي عليا
20415	انا. ك. عملت كدا علشان اضايق فاطمه بس
5864	لا مش عيب. بس هو بيجولى. ان لما بضحك بخلى الناس تاخد بالها. وهو مش عاوز مشاكل
14969	ا. انا مش.
6246	- بصراحه انا من ساعة مادوجت الرز بلبن اللى عملته البت نورا وانا بجيت على اعصابي نفسى اتعلم صنع الحلويات كلها وحمد لله مرات عمى نعمات شاطره وبتعلمنى بالراحه مش زى امى.
10736	أهلك يعرفوا انك توفيت بس الحصل ان بعد ما اتصلت بسمير يشوفلنا بيت وكنا هنمشى اتفاجأنا بالدكتور بيقول أن النبض رجع تانى ليك مش كنا مصدقين كان بالنسبالنا معجزة ومكنتش عارف اعمل اى
16497	لا استنى ياسليم محدش هيرضى يدهولك
13345	ok
19379	- اصلك جولتى عليها زفته وهبابة فانا كنت عايز اسمع تكملة الشتايم منك.
3522	أدعيله بالرحمة يا أولفت هو ربنا كاتبله كده ثم بجديه وبيان بنتى وانا مش هعمل حاجة تكون مش فى مصلحتها البنت ممكن يحصلها حاله نفسيه حاولى تقربى منها وتصحبيها
2108	أزيكم يا دكاترة
5188	- نسيبك دا ايه يااخي؟ خلينا نلحجه. واد عمك دمه هايتصفى لو قعدت جمبه من غير فعل.
17161	يوسف السباعى هو اللى بيقول كده ؟!
6094	وانت ياخاايب اللي يبوس بيسئذن ! خليك واعى زي ابوك .. الحاجات دي تتخطف خطف كده !
20696	انزل لييه ؟!
19906	بقولك اطلعي
9282	تمام اديني كام يوم اظبط طريقه ندخل بيه المصنع وانا هوريك الشغل من جوه
16106	- مجاتش امى تسال عليا ولا حتى ابويا جاه زعجلك هنا؟
6511	لا يادادة انا اتأخرت على الجامعة
727	اسمعي الكلام
5258	الله يبارك فيكى يا ماما
6776	مالك يا ماسة عينك حمرة
9952	السلام عليكم
6467	احم طاب عايزك برا خلصي وتعالي
2877	مش خابر انا حتبطلي حركات العيال دي ميته
4667	الله يسلمك .. تشكري
16591	انا هاموت فيها لو...
2968	ماما انتى كويسة.
6962	الحلو زعلان ليه؟
15860	الله الله يا سي مراد كبرت وبقيت بتعرف تخلص كلام
11221	لا يادادة انا بكلم المنبه عشان هو حاجة رخمه أوى
5429	محدش بيرد
19533	من شويه. طولتو ليه
18031	تمام، ادهم خلص اكل ومشي على الشغل.
10636	مش هعرف اعوضك ياحمزة
18069	قومي علشان اوصلك تقعدي معاهم.
15949	اطلعي ارتاحي يا حبيبتي ومتخافيش على زين هو هيقعد معانا شويه.
15743	هو مين
16551	اهو يا تيته اعمل ازي بقا.
9764	عاوزة اشرب.
19011	هى مصدره دايما الوش الخشب وكل ما اقولها نتكلم تقول لى عندى مذاكرة ومش فاضيه .. ياعم كبر دماغك سيب الايام تصلح اللي تكسر ..
512	سيف خلاص لو سمحت هتعرف لما تتجمعوا
11555	والنبى يا أدهم قولى احنا هنروح فين
2227	ادهم متجننيش وكلمني عدل
16457	- ايوة طبعاً يرضيني. مش كده وبس؟ لا دا انا هاقف معاها ولما اتجوز هاخدها معايا اسكندرية لو هي وافقت وساعتها مش هامنعها عن زيارة أهلها نهائي. انت ظلمت امي كتير اوي وهي صبرت. كفاية عليها اوي كده بقى. خليها تعيش اللى باقى من عمرها وتنساك. وزي ما قولتلك في الاول. انا مش هاسيبك وهاقف معاك. ماانت والدي ودا واجب عليا.
8680	سيبنى في حالى ياعم
6660	- هو انت لسة زعلان مني يامدحت؟ دا انت مجاوبتش على سؤالي حتى.
13108	جرحه سطحى يعنى مش مستاهله كل الفيلم الهندى دا ..
9544	من حفر حفرة لابيه هههههه.
